-------,-------,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------
caching,caching1,0.666557357,0.029539581,22.56488896,9.59E-113,509.174,7.97,***,,0.424579798,0.014087544,30.13866622,1.51E-199,908.339,20.05,***,,0.1206277,0.026667782,4.523349594,6.09E-06,20.461,0.86,***,,0.185939053,0.017674023,10.52047123,6.95E-26,110.68,1.41,***,,-0.331289347,0.021959278,-15.08653214,1.99E-51,227.603,5.65,***,,0.38607291,0.026458337,14.59172996,3.17E-48,212.919,8.76,***,,-0.666557357,0.029539581,22.56488896,9.59E-113,509.174,7.97,***,,-0.424579798,0.014087544,30.13866622,1.51E-199,908.339,20.05,***,,-0.1206277,0.026667782,4.523349594,6.09E-06,20.461,0.86,***,,-0.185939053,0.017674023,10.52047123,6.95E-26,110.68,1.41,***,,0.331289347,0.021959278,-15.08653214,1.99E-51,227.603,5.65,***,,-0.38607291,0.026458337,14.59172996,3.17E-48,212.919,8.76,***
commit_day_night,commit_day_nightnight,0.012013656,0.016217763,0.740771453,0.458832027,0.549,0.01, ,,0.019035822,0.008692153,2.190000671,0.028524188,4.796,0.11,*,,-0.007839519,0.015851869,-0.494548566,0.620918816,0.245,0.01, ,,-0.024653054,0.010649157,-2.315024037,0.020611617,5.359,0.07,*,,-0.002292828,0.013485068,-0.170027147,0.864988787,0.029,0, ,,-0.045925323,0.01416104,-3.243075587,0.001182468,10.518,0.43,**,,-0.012013656,0.016217763,0.740771453,0.458832027,0.549,0.01, ,,-0.019035822,0.008692153,2.190000671,0.028524188,4.796,0.11,*,,0.007839519,0.015851869,-0.494548566,0.620918816,0.245,0.01, ,,0.024653054,0.010649157,-2.315024037,0.020611617,5.359,0.07,*,,0.002292828,0.013485068,-0.170027147,0.864988787,0.029,0, ,,0.045925323,0.01416104,-3.243075587,0.001182468,10.518,0.43,**
commits_ratio_three_months_ago,commits_ratio_three_months_ago,0.32869246,0.050607071,6.494990741,8.30E-11,42.185,0.66,***,,-0.165252664,0.023148962,-7.138664135,9.42E-13,50.961,1.13,***,,-0.048757012,0.043956243,-1.109217008,0.267336577,1.23,0.05, ,,0.269333252,0.034316906,7.848413007,4.21E-15,61.598,0.79,***,,-0.113623142,0.037266044,-3.048972441,0.002296255,9.296,0.23,**,,0.290024498,0.040844577,7.100685596,1.24E-12,50.42,2.07,***,,-0.32869246,0.050607071,6.494990741,8.30E-11,42.185,0.66,***,,0.165252664,0.023148962,-7.138664135,9.42E-13,50.961,1.13,***,,0.048757012,0.043956243,-1.109217008,0.267336577,1.23,0.05, ,,-0.269333252,0.034316906,7.848413007,4.21E-15,61.598,0.79,***,,0.113623142,0.037266044,-3.048972441,0.002296255,9.296,0.23,**,,-0.290024498,0.040844577,7.100685596,1.24E-12,50.42,2.07,***
config_files_modified,config_files_modified,0.000571688,0.001670376,0.342251097,0.732161935,0.117,0, ,,-0.000470733,0.00059752,-0.787812397,0.430806449,0.621,0.01, ,,0.002381248,0.001134148,2.099592449,0.035764708,4.408,0.18,*,,0.001195154,0.000830762,1.438624223,0.150257019,2.07,0.03, ,,0.001474421,0.000633658,2.326842876,0.019973629,5.414,0.13,*,,-0.005393758,0.001219102,-4.424370459,9.67E-06,19.575,0.81,***,,-0.000571688,0.001670376,0.342251097,0.732161935,0.117,0, ,,0.000470733,0.00059752,-0.787812397,0.430806449,0.621,0.01, ,,-0.002381248,0.001134148,2.099592449,0.035764708,4.408,0.18,*,,-0.001195154,0.000830762,1.438624223,0.150257019,2.07,0.03, ,,-0.001474421,0.000633658,2.326842876,0.019973629,5.414,0.13,*,,0.005393758,0.001219102,-4.424370459,9.67E-06,19.575,0.81,***
deployment_lines,deployment_lines,-0.19138807,0.014379904,-13.30941223,2.04E-40,177.14,2.77,***,,0.051708075,0.008942455,5.78231306,7.37E-09,33.435,0.74,***,,-0.067672386,0.013899273,-4.868771564,1.12E-06,23.705,0.99,***,,-0.095595466,0.005639571,-16.95084087,1.90E-64,287.331,3.67,***,,-0.10811265,0.009770627,-11.06506826,1.85E-28,122.436,3.04,***,,-0.039015354,0.010015661,-3.895434574,9.80E-05,15.174,0.62,***,,0.19138807,0.014379904,-13.30941223,2.04E-40,177.14,2.77,***,,-0.051708075,0.008942455,5.78231306,7.37E-09,33.435,0.74,***,,0.067672386,0.013899273,-4.868771564,1.12E-06,23.705,0.99,***,,0.095595466,0.005639571,-16.95084087,1.90E-64,287.331,3.67,***,,0.10811265,0.009770627,-11.06506826,1.85E-28,122.436,3.04,***,,0.039015354,0.010015661,-3.895434574,9.80E-05,15.174,0.62,***
dist,distdefault,0.333807382,0.152917495,2.182924741,0.029041353,1147.489,17.95,***,,-0.455105437,0.059666708,-7.627460102,2.39E-14,403.448,8.91,***,,0.021957533,0.129972904,0.16893931,0.865844379,295.633,12.41,***,,1.113921321,0.088485605,12.58872922,2.44E-36,1885.26,24.1,***,,0.354832095,0.095814303,3.703331171,0.000212787,345.66,8.58,***,,0.9412347,0.121773542,7.729385891,1.08E-14,652.906,26.86,***,,-0.333807382,0.152917495,2.182924741,0.029041353,1147.489,17.95,***,,0.455105437,0.059666708,-7.627460102,2.39E-14,403.448,8.91,***,,-0.021957533,0.129972904,0.16893931,0.865844379,295.633,12.41,***,,-1.113921321,0.088485605,12.58872922,2.44E-36,1885.26,24.1,***,,-0.354832095,0.095814303,3.703331171,0.000212787,345.66,8.58,***,,-0.9412347,0.121773542,7.729385891,1.08E-14,652.906,26.86,***
dist,distprecise,-0.69233417,0.178292572,-3.883135243,0.000103118,1147.489,17.95,***,,-0.720250268,0.075226125,-9.574469884,1.02E-21,403.448,8.91,***,,-0.237253238,0.160718904,-1.476199957,0.139890221,295.633,12.41,***,,0.16828395,0.106627243,1.578245344,0.114509257,1885.26,24.1,***,,0.315986325,0.121036788,2.610663501,0.009036676,345.66,8.58,***,,0.089227403,0.153882235,0.579842131,0.562021083,652.906,26.86,***,,0.69233417,0.178292572,-3.883135243,0.000103118,1147.489,17.95,***,,0.720250268,0.075226125,-9.574469884,1.02E-21,403.448,8.91,***,,0.237253238,0.160718904,-1.476199957,0.139890221,295.633,12.41,***,,-0.16828395,0.106627243,1.578245344,0.114509257,1885.26,24.1,***,,-0.315986325,0.121036788,2.610663501,0.009036676,345.66,8.58,***,,-0.089227403,0.153882235,0.579842131,0.562021083,652.906,26.86,***
dist,disttrusty,-0.649884162,0.15463042,-4.202822191,2.64E-05,1147.489,17.95,***,,-0.331794151,0.059856442,-5.54316528,2.97E-08,403.448,8.91,***,,-0.475850449,0.131602767,-3.615808855,0.000299411,295.633,12.41,***,,0.229895872,0.0901257,2.550835915,0.010746491,1885.26,24.1,***,,-0.050136666,0.096509723,-0.5194986,0.603413089,345.66,8.58,***,,0.416174227,0.123074746,3.381475401,0.000720977,652.906,26.86,***,,0.649884162,0.15463042,-4.202822191,2.64E-05,1147.489,17.95,***,,0.331794151,0.059856442,-5.54316528,2.97E-08,403.448,8.91,***,,0.475850449,0.131602767,-3.615808855,0.000299411,295.633,12.41,***,,-0.229895872,0.0901257,2.550835915,0.010746491,1885.26,24.1,***,,0.050136666,0.096509723,-0.5194986,0.603413089,345.66,8.58,***,,-0.416174227,0.123074746,3.381475401,0.000720977,652.906,26.86,***
dist,distxenial,1.05380454,0.164408681,6.409664848,1.46E-10,1147.489,17.95,***,,-0.061425555,0.062861528,-0.977156573,0.328491643,403.448,8.91,***,,0.01316175,0.142537033,0.092339158,0.926428578,295.633,12.41,***,,1.167406257,0.09545277,12.23019775,2.14E-34,1885.26,24.1,***,,-0.239665196,0.10543923,-2.273017323,0.023025136,345.66,8.58,***,,1.800698449,0.133137725,13.52508049,1.11E-41,652.906,26.86,***,,-1.05380454,0.164408681,6.409664848,1.46E-10,1147.489,17.95,***,,0.061425555,0.062861528,-0.977156573,0.328491643,403.448,8.91,***,,-0.01316175,0.142537033,0.092339158,0.926428578,295.633,12.41,***,,-1.167406257,0.09545277,12.23019775,2.14E-34,1885.26,24.1,***,,0.239665196,0.10543923,-2.273017323,0.023025136,345.66,8.58,***,,-1.800698449,0.133137725,13.52508049,1.11E-41,652.906,26.86,***
docker,docker1,-0.521465134,0.064621517,-8.069527947,7.06E-16,65.117,1.02,***,,-0.500945633,0.029715533,-16.85803969,9.16E-64,284.194,6.27,***,,-0.83450367,0.068599925,-12.16478979,4.79E-34,147.982,6.21,***,,-0.605744848,0.042418693,-14.28013937,2.91E-46,203.922,2.61,***,,-0.344293351,0.056048012,-6.142829006,8.11E-10,37.734,0.94,***,,0.081704312,0.069515118,1.175345948,0.239856339,1.381,0.06, ,,0.521465134,0.064621517,-8.069527947,7.06E-16,65.117,1.02,***,,0.500945633,0.029715533,-16.85803969,9.16E-64,284.194,6.27,***,,0.83450367,0.068599925,-12.16478979,4.79E-34,147.982,6.21,***,,0.605744848,0.042418693,-14.28013937,2.91E-46,203.922,2.61,***,,0.344293351,0.056048012,-6.142829006,8.11E-10,37.734,0.94,***,,-0.081704312,0.069515118,1.175345948,0.239856339,1.381,0.06, 
fast_finish,fast_finish1,0.724987705,0.033534696,21.6190334,1.19E-103,467.383,7.31,***,,0.30837109,0.016673947,18.4941866,2.30E-76,342.035,7.55,***,,0.544259911,0.032425162,16.78510995,3.14E-63,281.74,11.82,***,,0.283045564,0.02191566,12.91521964,3.69E-38,166.803,2.13,***,,0.207832126,0.028744366,7.230360483,4.82E-13,52.278,1.3,***,,0.038764207,0.033875864,1.144301646,0.252498561,1.309,0.05, ,,-0.724987705,0.033534696,21.6190334,1.19E-103,467.383,7.31,***,,-0.30837109,0.016673947,18.4941866,2.30E-76,342.035,7.55,***,,-0.544259911,0.032425162,16.78510995,3.14E-63,281.74,11.82,***,,-0.283045564,0.02191566,12.91521964,3.69E-38,166.803,2.13,***,,-0.207832126,0.028744366,7.230360483,4.82E-13,52.278,1.3,***,,-0.038764207,0.033875864,1.144301646,0.252498561,1.309,0.05, 
gh_by_core_team_member,gh_by_core_team_member1,0.268987551,0.020154126,13.34652515,1.24E-40,178.13,2.79,***,,-0.009554543,0.011442285,-0.835020496,0.403706168,0.697,0.02, ,,0.374466249,0.019979663,18.74237042,2.23E-78,351.276,14.74,***,,0.450237656,0.012452024,36.15778916,2.81E-286,1307.386,16.71,***,,0.55757169,0.016139297,34.54745877,1.56E-261,1193.527,29.62,***,,-0.138637424,0.016697815,-8.302728721,1.02E-16,68.935,2.84,***,,-0.268987551,0.020154126,13.34652515,1.24E-40,178.13,2.79,***,,0.009554543,0.011442285,-0.835020496,0.403706168,0.697,0.02, ,,-0.374466249,0.019979663,18.74237042,2.23E-78,351.276,14.74,***,,-0.450237656,0.012452024,36.15778916,2.81E-286,1307.386,16.71,***,,-0.55757169,0.016139297,34.54745877,1.56E-261,1193.527,29.62,***,,0.138637424,0.016697815,-8.302728721,1.02E-16,68.935,2.84,***
